pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Cuál es el órgano más grande del cuerpo humano?,Corazón,Hígado,Piel,Riñón,3
¿Quién pintó 'La Última Cena'?,Miguel Ángel,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,2
¿En qué año comenzó la Primera Guerra Mundial?,1912,1914,1918,1920,2
¿Cuál es el continente más grande?,Asia,África,América,Europa,1
¿Qué escritor es conocido por su obra '1984'?,George Orwell,Aldous Huxley,Ray Bradbury,J.R.R. Tolkien,1
¿Qué país tiene la mayor población del mundo?,China,India,Estados Unidos,Rusia,1
¿Qué órgano del cuerpo humano produce la insulina?,Corazón,Hígado,Páncreas,Riñón,3
¿Quién escribió 'Cien Años de Soledad'?,Gabriel García Márquez,Julio Cortázar,Mario Vargas Llosa,Carlos Fuentes,1
¿En qué país se originó el tango?,Brasil,Argentina,Uruguay,México,2
¿Qué es el ADN?,Ácido desoxirribonucleico,Ácido ribonucleico,Ácido desoxirribósico,Ácido ribosómico,1
¿Quién pintó el techo de la Capilla Sixtina?,Donatello,Rafael,Miguel Ángel,Leonardo da Vinci,3
¿Cuántos planetas tiene el sistema solar?,7,8,9,10,2
¿Cuál es el río más largo del mundo?,Amazonas,Nilo,Yangtsé,Misisipi,1
¿Qué continente tiene más países?,Asia,África,Europa,Oceanía,2
¿Quién compuso la música de 'La Traviata'?,Ludwig van Beethoven,Giuseppe Verdi,Wolfgang Amadeus Mozart,Johann Strauss,2
¿Dónde se encuentra la Muralla China?,China,Japón,India,Corea del Sur,1
¿Cuál es el elemento químico con símbolo 'O'?,Oro,Oxígeno,Osmio,Oganesón,2
¿Quién fue el primer presidente de Estados Unidos?,Thomas Jefferson,George Washington,Abraham Lincoln,John Adams,2
¿Cuál es la moneda oficial de Japón?,Yen,Won,Yuan,Dólar,1
¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?,1776,1783,1791,1801,1
¿Qué elemento químico tiene el símbolo 'Fe'?,Fluor,Fósforo,Hierro,Francio,3
¿Qué científico formuló la teoría de la relatividad?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
¿Qué es la fotosíntesis?,El proceso por el cual las plantas respiran,El proceso por el cual las plantas producen energía a partir de la luz,El proceso por el cual las plantas se alimentan del suelo,El proceso por el cual las plantas se polinizan,2
¿En qué país tiene la mayor cantidad de islas en el mundo?,Suecia,Canadá,Indonesia,Filipinas,1
¿En qué continente se encuentra el desierto de Sahara?,Asia,África,América,Oceanía,2
¿Qué famoso músico compuso la ópera 'Carmen'?,Ludwig van Beethoven,Giuseppe Verdi,Georges Bizet,Wolfgang Amadeus Mozart,3
¿En qué país nació el famoso pintor Pablo Picasso?,España,Francia,Italia,Rusia,1
¿Cuál es la capital de Egipto?,Cairo,Luxor,Alejandría,El Cairo,1
¿Quién fue el autor de 'Matar a un ruiseñor'?,Harper Lee,J.D. Salinger,Mark Twain,Ernest Hemingway,1
¿Qué significa el término 'Renacimiento' en la historia del arte?,Un periodo de oscuridad,Un movimiento artístico que celebró la cultura clásica,Una época de arte abstracto,Un periodo de guerras,2
¿Cuál es el animal más grande del planeta?,Elefante africano,Ballena azul,Tiburón blanco,Rinoceronte,2
¿Qué famoso escritor argentino escribió 'El Aleph'?,Jorge Luis Borges,Julio Cortázar,Adolfo Bioy Casares,Ricardo Piglia,1
¿Cuál es el océano más grande?,Atlántico,Pacífico,Índico,Ártico,2
¿Qué famoso explorador descubrió América en 1492?,Cristóbal Colón,Fernando de Magallanes,Marco Polo,Hernán Cortés,1
¿Quién fue el primer hombre en viajar al espacio?,Yuri Gagarin,Neil Armstrong,Buzz Aldrin,Valentina Tereshkova,1
¿Cuál es la capital de Francia?,París,Londres,Roma,Madrid,1
¿Qué gas constituye aproximadamente el 78% de la atmósfera terrestre?,Oxígeno,Dióxido de carbono,Nitrógeno,Helio,3
¿En qué continente se encuentra el desierto de Atacama?,África,Asia,América del Sur,Oceanía,3
¿Cuál es la lengua oficial de Brasil?,Español,Inglés,Portugués,Francés,3
¿Qué es el 'Big Bang'?,Una teoría sobre el origen del universo,El colapso de una estrella,Un tipo de explosión nuclear,Una teoría sobre la formación de los planetas,1
¿Qué animal es conocido por su capacidad de cambiar de color?,Camaleón,Pulpo,Iguana,Serpiente,1
¿Qué pintor español fue uno de los máximos exponentes del cubismo?,Diego Rivera,Pablo Picasso,Joan Miró,Salvador Dalí,2
¿Qué es la OPEC?,Organización de Países Exportadores de Petróleo,Organización de Países Exportadores de Cobre,Organización de Países Empacadores de Café,Organización de Países Exportadores de Cereal,1
¿Cuántos elementos químicos existen en la tabla periódica?,110,118,126,132,2
¿Qué obra literaria fue escrita por Mary Shelley?,Drácula,Frankenstein,La Odisea,El Retrato de Dorian Gray,2
¿Cuál es el océano más pequeño?,Atlántico,Ártico,Índico,Pacífico,2
¿Cuántos continentes hay en el mundo?,4,5,6,7,4
¿Cuál es el río más largo de América del Sur?,Río Amazonas,Río Paraná,Río de la Plata,Río Magdalena,1
¿Quién descubrió la penicilina?,Marie Curie,Louis Pasteur,Alejandro Fleming,Robert Koch,3
¿Qué ciudad es conocida como la 'Ciudad Eterna'?,Roma,Atenas,Jerusalén,Cairo,1
¿En qué país se encuentra la Torre Eiffel?,España,Italia,Francia,Alemania,3
¿Qué pintor holandés es conocido por su obra 'La noche estrellada'?,Rembrandt,Johannes Vermeer,Vincent van Gogh,Claude Monet,3
¿Cuál es el país más grande del mundo en términos de superficie?,Rusia,Canadá,China,Estados Unidos,1
¿Quién fue el autor de 'Don Quijote de la Mancha'?,Carlos Fuentes,Federico García Lorca,Miguel de Cervantes,Gabriel García Márquez,3
¿Qué instrumento musical tiene 88 teclas?,Piano,Órgano,Guitarra,Violín,1
¿Cuál es la capital de México?,Guadalajara,Monterrey,Ciudad de México,Cancún,3
¿Qué continente está formado por 54 países?,Asia,África,Europa,América del Sur,2
¿Quién fue el primer presidente de Argentina?,José de San Martín,Domingo Faustino Sarmiento,Hipólito Yrigoyen,Bernardino Rivadavia,4
¿Qué es el colibrí?,Un mamífero,Un insecto,Un ave,Un reptil,3
¿Qué artista pintó 'La persistencia de la memoria'?,Salvador Dalí,Pablo Picasso,René Magritte,Claude Monet,1
¿Cuál es la moneda oficial de Estados Unidos?,Dólar,Euro,Yen,Peso,1
¿Qué país es conocido por la cultura del sushi?,China,Japón,Corea del Sur,Tailandia,2
¿Quién escribió 'Orgullo y prejuicio'?,Jane Austen,Charlotte Brontë,Virginia Woolf,Emily Dickinson,1
¿Qué planeta es conocido como el 'planeta rojo'?,Marte,Venus,Júpiter,Saturno,1
¿Cuál es el deporte más popular del mundo?,Fútbol,Béisbol,Baloncesto,Rugby,1
¿Cuál es el país más pequeño del mundo?,Mónaco,Ciudad del Vaticano,San Marino,Liechtenstein,2
¿Quién fue el autor de Cien años de soledad?,Gabriel García Márquez,Mario Vargas Llosa,Carlos Fuentes,Julio Cortázar,1
¿Qué es la fotosíntesis?,Un proceso que ocurre solo en animales,Un proceso de respiración en plantas,Un proceso en el que las plantas producen su propio alimento usando luz solar,Un tipo de movimiento celular,3
¿En qué continente se encuentra el río Nilo?,Asia,África,Europa,Oceanía,2
¿Cuál es el símbolo químico del oro?,Ag, Fe, Au, Pb, 3
¿Qué famoso físico desarrolló la teoría de la relatividad?,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla,2
¿En qué año llegó Cristóbal Colón a América?,1492,1453,1519,1607,1
¿Quién pintó la Mona Lisa?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,2
¿Cuál es el animal más grande del planeta?,Ballena azul,Elefante africano,Tiburón blanco,Rinoceronte,1
¿Qué río atraviesa la ciudad de Londres?,Río Támesis,Río Sena,Río Danubio,Río Elba,1
¿Cuál es la moneda oficial de Japón?,Yuan,Yen,Won,Ringgit,2
¿En qué ciudad se encuentra la famosa Sagrada Familia?,Madrid,Barcelona,Valencia,Sevilla,2
¿Qué científico formuló la teoría de la evolución?,Albert Einstein,Charles Darwin,Isaac Newton,Louis Pasteur,2
¿Cuál es el principal ingrediente del guacamole?,Tomate,Aguacate,Cebolla,Pepino,2
¿En qué continente se encuentra el país de Egipto?,Asia,Europa,África,Oceanía,3
¿Qué océano se encuentra al este de África?,Atlántico,Índico,Pacífico,Ártico,2
¿Quién fue el último emperador del Imperio Romano de Occidente?,Julio César,Augusto,Rómulo Augústulo,Nerón,3
¿Qué elemento químico tiene el número atómico 6?,Oxígeno,Carbono,Hidrógeno,Nitrógeno,2
¿Cuál es el símbolo químico de la plata?,Ag,Au,Fe,Pb,1
¿En qué año terminó la Primera Guerra Mundial?,1914,1918,1921,1939,2
¿Quién es conocido como el padre de la independencia de la India?,Mahatma Gandhi,Nehru,Subhas Chandra Bose,Bose,1
¿Cuál es el mayor desierto del mundo?,Desierto de Sahara,Desierto de Atacama,Desierto de Kalahari,Desierto de Gobi,1
¿Qué cantante es conocido como el 'Rey del Pop'?,Elvis Presley,Michael Jackson,Prince,Whitney Houston,2
¿Qué famoso edificio se encuentra en la ciudad de Pisa en Italia?,La Torre Eiffel,La Torre de Pisa,El Coliseo,El Partenón,2
¿Qué ciudad es la capital de Australia?,Sídney,Melbourne,Canberra,Perth,3
